phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.0425562e-12,0.04761905,4.5076065e-12,0.04761905,0.04761905,0.04761905,8.202627e-12,0.04761905,0.04761905,0.04761905,7.286278e-12,0.04761905,0.04761905,0.04761905,9.161611e-11
Susceptible,0.05882353,3.2317629e-37,0.05882353,0.05882353,4.0923851e-35,4.7139936e-34,0.05882353,0.05882353,1.0647944e-32,0.05882353,0.05882353,0.05882353,0.05882353,1.5246344e-35,0.05882353,0.05882353,0.05882353,1.3893776e-34,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,1.3854565e-33,6.7408874e-31,3.3597283e-32
Susceptible,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,4.46808e-13,0.04347826,0.04347826,0.04347826,5.955018e-13,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,5.446611e-12
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.0425562e-12,0.04761905,4.5076065e-12,0.04761905,0.04761905,0.04761905,8.202627e-12,0.04761905,0.04761905,0.04761905,7.286278e-12,0.04761905,0.04761905,0.04761905,9.161611e-11
Susceptible,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2.7712411e-12,0.05,4.125422e-12,0.05,0.05,0.05,7.482409e-12,0.05,0.05,0.05,6.6656632e-12,0.05,2.6906416e-11,0.05,8.4829546e-11
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.5846466e-13,1.8034095e-14,1.08328074e-13,0.04761905,0.04761905,1.2926201e-14,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.0224614e-13
Susceptible,0.05882353,0.05882353,0.05882353,0.05882353,2.114976e-14,4.293011e-14,0.05882353,0.05882353,0.05882353,0.05882353,0.05882353,7.865403e-15,1.976918e-13,1.9068297e-14,0.05882353,0.05882353,1.0809938e-16,3.3205152e-14,0.05882353,0.05882353,0.05882353,3.113255e-14,0.05882353,0.05882353,0.05882353,2.1957578e-13
Susceptible,0.0625,2.1388952e-24,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,6.048819e-24,1.8526941e-21,2.8953234e-23,0.0625,5.372553e-22,1.1067599e-26,4.0913394e-23,0.0625,2.7290225e-28,0.0625,6.343804e-23,0.0625,0.0625,0.0625,1.0271829e-21
Susceptible,0.05,0.05,0.05,7.3239385e-24,0.05,0.05,3.2738596e-22,2.7414995e-24,0.05,0.05,0.05,0.05,0.05,1.6283989e-23,0.05,0.05,0.05,1.413073e-23,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5.293019e-22
Susceptible,0.071428575,5.3690934e-32,0.071428575,0.071428575,0.071428575,9.8160925e-30,0.071428575,1.1679943e-31,1.9238717e-28,0.071428575,0.071428575,2.4792932e-31,4.696899e-28,1.539153e-30,1.4215426e-28,0.071428575,2.1300685e-35,4.3249683e-30,0.071428575,0.071428575,0.071428575,5.5797433e-30,0.071428575,0.071428575,0.071428575,3.9472122e-28
