phenotype,Rv0678,Rv2983,atpE,ddn,eis,embB,ethA,fabG1,fbiA,fbiB,fbiC,fgd1,gid,gyrA,gyrB,inhA,katG,mmpL5,pepQ,pncA,rplC,rpoB,rpsL,rrl,rrs,tlyA
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.1710162e-14,1.8369515e-15,0.04761905,0.04761905,0.04761905,2.5733496e-15,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,1.1538592e-13,2.6249717e-14
Susceptible,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,4.9203027e-07,1.11102324e-07,0.045454472,0.045454472,0.045454472,1.828483e-07,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,0.045454472,8.405641e-07,0.045454472
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,8.987261e-11,0.055555556,0.055555556,0.055555556,0.055555556,1.0158443e-11,1.5316945e-10,1.9296835e-11,0.055555556,0.055555556,3.0743317e-13,2.8310918e-11,0.055555556,0.055555556,0.055555556,3.1628745e-11,0.055555556,0.055555556,0.055555556,1.49396e-10
Susceptible,0.05263158,1.5010889e-15,0.05263158,0.05263158,0.05263158,1.7650662e-14,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,9.3381655e-15,5.322008e-14,0.05263158,0.05263158,5.6275946e-15,0.05263158,0.05263158,0.05263158,0.05263158,0.05263158,3.053853e-14,0.05263158,3.570956e-14
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,2.1149796e-15,0.04761905,4.0633623e-15,0.04761905,0.04761905,0.04761905,7.67853e-15,0.04761905,0.04761905,0.04761905,7.606289e-15,0.04761905,0.04761905,0.04761905,1.4288863e-13
Susceptible,1.3873692e-19,0.06666667,0.06666667,0.06666667,2.82853e-21,5.255501e-21,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,5.0384937e-22,6.6609624e-20,2.9637988e-21,4.0455992e-20,0.06666667,2.000712e-24,3.232896e-21,0.06666667,0.06666667,0.06666667,5.392995e-21,0.06666667,0.06666667,0.06666667,3.5835593e-20
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,9.2991316e-11,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,2.3771485e-11,2.7768066e-10,4.3646295e-11,0.055555556,0.055555556,1.0181482e-12,5.9195523e-11,0.055555556,0.055555556,0.055555556,6.087607e-11,0.055555556,0.055555556,0.055555556,3.194573e-10
Susceptible,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,0.055555556,1.9616409e-20,2.3510413e-18,6.3106475e-20,0.055555556,0.055555556,6.7738135e-23,9.280183e-20,0.055555556,1.7314686e-24,0.055555556,1.164169e-19,0.055555556,0.055555556,0.055555556,1.9040837e-18
Susceptible,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,1.6345031e-11,0.04347826,0.04347826,0.04347826,2.5582553e-11,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,0.04347826,2.0516686e-10
Susceptible,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,0.04761905,3.0425562e-12,0.04761905,4.5076065e-12,0.04761905,0.04761905,0.04761905,8.202627e-12,0.04761905,0.04761905,0.04761905,7.286278e-12,0.04761905,0.04761905,0.04761905,9.161611e-11
